Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,pid,Year,YR_INT
Antti Niemi,34,MTL,19,17,7,5,4,42,592,550,.929,2.46,1,4.4,1026,12,.706,2,81,9.96,0,0,0,0,niemian02,2017-2018,2018
Antti Niemi,34,PIT,3,3,0,3,0,16,79,63,.797,7.49,0,-0.5,128,0,.000,2,,,0,1,1,0,niemian02,2017-2018,2018
Antti Niemi,34,FLA,2,0,0,1,0,5,39,34,.872,5.11,0,0.0,59,0,,0,,,0,0,0,0,niemian02,2017-2018,2018
Anders Nilsson,27,VAN,27,24,7,14,4,84,850,766,.901,3.44,2,3.7,1464,8,.333,5,113,-9.40,0,1,1,0,nilssan01,2017-2018,2018
Ondrej Pavelec,30,NYR,19,12,4,9,1,46,510,464,.910,3.05,1,2.7,904,5,.417,3,103,-1.24,0,0,0,2,pavelon01,2017-2018,2018
Calvin Pickard,25,TOR,1,1,0,0,1,4,28,24,.857,3.83,0,0.0,63,0,.000,0,,,0,0,0,0,pickaca01,2017-2018,2018
Carey Price,30,MTL,49,48,16,26,7,148,1487,1339,.900,3.11,1,6.4,2855,21,.438,10,113,-17.49,0,0,0,0,priceca01,2017-2018,2018
Jonathan Quick,32,LAK,64,63,33,28,3,147,1867,1720,.921,2.40,5,12.2,3677,37,.587,7,90,16.86,0,4,4,10,quickjo01,2017-2018,2018
Antti Raanta,28,ARI,47,46,21,17,6,97,1388,1291,.930,2.24,3,10.4,2599,32,.696,6,80,24.82,0,0,0,0,raantan01,2017-2018,2018
Tuukka Rask,30,BOS,54,53,34,14,5,125,1513,1388,.917,2.36,3,9.3,3173,30,.566,6,94,7.79,0,2,2,4,rasktu01,2017-2018,2018
James Reimer,29,FLA,44,42,22,14,6,120,1373,1253,.913,2.99,4,7.7,2411,22,.524,8,100,0.51,0,1,1,4,reimeja01,2017-2018,2018
Pekka Rinne,35,NSH,59,59,42,13,4,134,1840,1706,.927,2.31,8,13.2,3475,40,.678,5,83,27.49,0,1,1,6,rinnepe01,2017-2018,2018
David Rittich,25,CGY,21,16,8,6,3,49,512,463,.904,2.92,0,2.4,1008,10,.625,3,109,-4.06,0,0,0,14,rittida01,2017-2018,2018
Juuse Saros,22,NSH,26,23,11,5,7,61,810,749,.925,2.45,3,5.6,1497,14,.609,2,86,10.09,0,3,3,0,sarosju01,2017-2018,2018
Harri Sateri,28,FLA,9,7,4,4,0,24,271,247,.911,2.92,0,1.5,493,5,.714,0,,,0,0,0,0,saterha01,2017-2018,2018
Cory Schneider,31,NJD,40,40,17,16,6,114,1228,1114,.907,2.93,1,6.2,2332,19,.475,7,106,-6.22,0,0,0,0,schneco01,2017-2018,2018
Mike Smith,35,CGY,55,55,25,22,6,141,1686,1545,.916,2.65,3,10.2,3191,32,.582,9,95,6.98,0,2,2,8,smithmi01,2017-2018,2018
Alex Stalock,30,MIN,28,23,10,10,4,71,787,716,.910,2.85,1,4.2,1495,13,.565,3,103,-1.93,0,0,0,0,staloal01,2017-2018,2018
Malcolm Subban,24,VEG,22,19,13,4,2,55,614,559,.910,2.68,0,3.3,1230,8,.421,2,102,-1.11,0,0,0,2,subbama01,2017-2018,2018
Cam Talbot,30,EDM,67,67,31,31,3,188,2036,1848,.908,3.02,1,10.3,3730,32,.478,11,105,-9.30,0,1,1,8,talboca01,2017-2018,2018
Daniel Taylor,31,OTT,1,1,0,1,0,4,34,30,.882,4.10,0,0.1,58,0,.000,0,,,0,0,0,0,tayloda02,2017-2018,2018
Linus Ullmark,24,BUF,5,3,1,2,0,8,123,115,.935,2.00,0,1.0,240,2,.667,0,,,0,0,0,0,ullmali01,2017-2018,2018
Semyon Varlamov,29,COL,51,47,24,16,6,128,1595,1467,.920,2.68,2,10.2,2861,28,.596,5,91,11.99,0,0,0,2,varlasi01,2017-2018,2018
Andrei Vasilevskiy,23,TBL,65,64,44,17,3,167,2075,1908,.920,2.62,8,13.2,3825,36,.563,8,92,15.12,0,2,2,14,vasilan02,2017-2018,2018
Cam Ward,33,CAR,43,42,23,14,4,112,1187,1075,.906,2.73,2,5.8,2459,21,.500,10,108,-7.82,0,0,0,14,wardca01,2017-2018,2018
Scott Wedgewood,25,ARI,20,17,5,9,4,63,587,524,.893,3.45,1,2.0,1097,7,.412,4,122,-11.48,0,0,0,2,wedgesc01,2017-2018,2018
Adam Wilcox,25,BUF,1,0,0,1,0,0,14,14,1.000,0.00,0,0.2,39,0,,0,,,0,0,0,0,wilcoad01,2017-2018,2018
Jake Allen,26,STL,61,60,33,20,5,138,1620,1482,.915,2.42,4,9.8,3418,33,.550,11,98,2.20,0,1,1,4,allenja01,2016-2017,2017
Jorge Alves,38,CAR,1,0,0,0,0,0,0,0,,0.00,0,0.0,0,0,,0,,,0,0,0,0,alvesjo01,2016-2017,2017
Frederik Andersen,27,TOR,66,66,33,16,14,169,2052,1883,.918,2.67,4,13.1,3799,38,.576,11,95,8.58,0,1,1,16,anderfr01,2016-2017,2017
Craig Anderson,35,OTT,40,40,25,11,4,92,1247,1155,.926,2.28,5,9.2,2421,25,.625,4,85,15.92,0,1,1,0,andercr01,2016-2017,2017
Richard Bachman,29,VAN,5,5,2,3,0,13,162,149,.920,2.64,0,1.1,295,2,.400,0,,,0,0,0,0,bachmri01,2016-2017,2017
Jonathan Bernier,28,ANA,39,33,21,7,4,83,982,899,.915,2.50,2,6.0,1993,19,.576,4,98,1.98,0,0,0,4,bernijo01,2016-2017,2017
Reto Berra,30,FLA,7,4,0,5,0,18,145,127,.876,3.45,0,0.2,313,0,.000,2,,,0,0,0,0,berrare01,2016-2017,2017
Jean-Francois Berube,25,NYI,14,7,3,2,2,30,271,241,.889,3.42,0,0.8,527,3,.429,2,,,0,0,0,0,berubje02,2016-2017,2017
Antoine Bibeau,22,TOR,2,2,1,1,0,4,55,51,.927,1.99,0,0.4,121,2,1.000,0,,,0,0,0,0,bibeaan01,2016-2017,2017
Ben Bishop,30,TBL,32,31,16,12,3,77,870,793,.911,2.55,1,4.9,1813,16,.516,4,102,-1.71,0,0,0,8,bishobe01,2016-2017,2017
Ben Bishop,30,LAK,7,6,2,3,2,17,170,153,.900,2.49,0,0.7,410,3,.500,2,,,0,0,0,2,bishobe01,2016-2017,2017
Sergei Bobrovsky,28,CBJ,63,63,41,17,5,127,1854,1727,.931,2.06,7,14.9,3707,41,.651,5,79,33.45,0,0,0,8,bobrose01,2016-2017,2017
Laurent Brossoit,23,EDM,8,4,4,1,0,11,153,142,.928,1.99,0,1.2,332,2,.500,0,,,0,0,0,0,brossla01,2016-2017,2017
Peter Budaj,34,LAK,53,51,27,20,3,107,1286,1179,.917,2.12,7,8.1,3029,31,.608,7,96,4.29,0,1,1,0,budajpe01,2016-2017,2017
Peter Budaj,34,TBL,7,4,3,1,0,13,128,115,.898,2.80,0,0.5,279,1,.250,0,,,0,0,0,0,budajpe01,2016-2017,2017
Jack Campbell,25,LAK,1,0,0,0,0,0,5,5,1.000,0.00,0,0.1,20,0,,0,,,0,0,0,0,campbja01,2016-2017,2017
Eric Comrie,21,WPG,1,1,1,0,0,4,39,35,.897,4.05,0,0.2,59,0,.000,0,,,0,0,0,0,comrier01,2016-2017,2017
Mike Condon,26,OTT,40,38,19,14,6,96,1115,1019,.914,2.50,5,6.7,2304,19,.500,7,99,0.49,0,0,0,4,condomi01,2016-2017,2017
Mike Condon,26,PIT,1,0,0,0,0,0,7,7,1.000,0.00,0,0.1,20,0,,0,,,0,0,0,0,condomi01,2016-2017,2017
Pheonix Copley,25,STL,1,1,0,1,0,5,29,24,.828,5.09,0,-0.1,59,0,.000,1,,,0,0,0,0,copleph01,2016-2017,2017
Jared Coreau,25,DET,14,14,5,4,3,41,362,321,.887,3.46,2,1.0,712,5,.357,6,131,-9.67,0,0,0,0,coreaja01,2016-2017,2017
Corey Crawford,32,CHI,55,55,32,18,4,138,1691,1553,.918,2.55,2,11.0,3247,29,.527,7,94,8.34,0,1,1,2,crawfco01,2016-2017,2017
Scott Darling,28,CHI,32,27,18,5,5,67,877,810,.924,2.38,2,6.2,1689,17,.630,1,88,8.90,0,0,0,0,darlisc01,2016-2017,2017
Aaron Dell,27,SJS,20,17,11,6,1,37,533,496,.931,2.00,1,4.2,1111,12,.706,1,80,9.13,0,0,0,0,dellaa01,2016-2017,2017
Louis Domingue,24,ARI,31,26,11,15,1,82,888,806,.908,3.08,0,4.6,1599,12,.462,4,107,-5.15,0,0,0,0,dominlo01,2016-2017,2017
Chris Driedger,22,OTT,1,0,0,1,0,4,15,11,.733,6.00,0,-0.2,40,0,,0,,,0,0,0,0,driedch01,2016-2017,2017
Devan Dubnyk,30,MIN,65,63,40,19,5,141,1842,1701,.923,2.25,5,13.1,3758,39,.619,7,88,18.41,0,0,0,10,dubnyde01,2016-2017,2017
Brian Elliott,31,CGY,49,45,26,18,3,121,1338,1217,.910,2.55,2,7.3,2844,26,.578,4,104,-5.21,0,0,0,4,elliobr01,2016-2017,2017
Jhonas Enroth,28,TOR,6,4,0,3,1,18,141,123,.872,3.94,0,0.2,274,0,.000,0,,,0,0,0,0,enrotjh01,2016-2017,2017
Marc-Andre Fleury,32,PIT,38,34,18,10,7,107,1181,1074,.909,3.02,1,6.4,2125,16,.471,5,105,-4.80,0,0,0,6,fleurma01,2016-2017,2017
Anton Forsberg,24,CBJ,1,1,0,1,0,4,27,23,.852,4.10,0,0.0,59,0,.000,0,,,0,0,0,0,forsban01,2016-2017,2017
John Gibson,23,ANA,52,49,25,16,9,109,1437,1328,.924,2.22,6,10.3,2950,28,.571,7,88,15.36,0,1,1,4,gibsojo02,2016-2017,2017
Jon Gillies,23,CGY,1,1,1,0,0,1,28,27,.964,1.00,0,0.3,60,1,1.000,0,,,0,0,0,0,gillijo01,2016-2017,2017
Thomas Greiss,31,NYI,51,49,26,18,5,126,1453,1327,.913,2.69,3,8.6,2813,30,.612,11,100,-0.26,0,1,1,0,greisth01,2016-2017,2017
Philipp Grubauer,25,WSH,24,19,13,6,2,43,585,542,.926,2.04,3,4.4,1265,13,.684,1,85,7.63,0,0,0,0,grubaph01,2016-2017,2017
Kristers Gudlevskis,24,TBL,1,0,0,0,0,0,3,3,1.000,0.00,0,0.0,11,0,,0,,,0,0,0,0,gudlekr01,2016-2017,2017
Jonas Gustavsson,32,EDM,7,5,1,3,1,17,139,122,.878,3.10,0,0.2,329,2,.400,3,,,0,0,0,0,gustajo01,2016-2017,2017
Jaroslav Halak,31,NYI,28,26,12,9,5,75,885,810,.915,2.80,2,5.4,1605,14,.538,3,98,1.59,0,1,1,0,halakja01,2016-2017,2017
Andrew Hammond,28,OTT,6,4,0,2,0,14,86,72,.837,4.08,0,-0.3,206,1,.250,3,,,0,0,0,0,hammoan01,2016-2017,2017
Magnus Hellberg,25,NYR,2,1,1,0,0,2,28,26,.929,1.53,0,0.2,79,1,1.000,0,,,0,0,0,0,hellbma01,2016-2017,2017
Connor Hellebuyck,23,WPG,56,53,26,19,4,146,1572,1426,.907,2.89,4,8.1,3034,25,.472,9,107,-9.96,0,0,0,0,helleco01,2016-2017,2017
Braden Holtby,27,WSH,63,63,42,13,6,127,1690,1563,.925,2.07,9,12.3,3680,39,.619,8,87,19.25,0,0,0,0,holtbbr01,2016-2017,2017
Jimmy Howard,32,DET,26,24,10,11,1,49,675,626,.927,2.10,1,5.1,1397,16,.667,4,84,9.42,0,0,0,2,howarja02,2016-2017,2017
Michael Hutchinson,26,WPG,28,20,9,12,3,67,690,623,.903,2.92,1,3.2,1378,8,.400,1,112,-7.29,0,0,0,0,hutchmi01,2016-2017,2017
Carter Hutton,31,STL,30,21,13,8,2,58,663,605,.913,2.39,4,3.8,1459,11,.524,3,101,-0.62,0,1,1,4,huttoca01,2016-2017,2017
Tristan Jarry,21,PIT,1,1,0,1,0,3,25,22,.880,3.06,0,0.0,59,0,.000,0,,,0,0,0,0,jarrytr01,2016-2017,2017
Chad Johnson,30,CGY,36,36,18,15,1,87,969,882,.910,2.59,3,5.4,2013,18,.500,7,104,-3.14,0,0,0,0,johnsch02,2016-2017,2017
Martin Jones,27,SJS,65,65,35,23,6,152,1725,1573,.912,2.40,2,9.9,3800,39,.600,8,102,-2.72,0,0,0,0,jonesma02,2016-2017,2017
Anton Khudobin,30,BOS,16,14,7,6,1,39,405,366,.904,2.64,0,1.9,885,5,.357,2,111,-3.95,0,1,1,2,khudoan01,2016-2017,2017
Keith Kinkaid,27,NJD,26,23,8,13,3,65,778,713,.916,2.64,1,4.9,1476,12,.522,4,97,2.33,0,1,1,0,kinkake01,2016-2017,2017
Joonas Korpisalo,22,CBJ,14,13,7,5,1,38,401,363,.905,2.88,1,2.0,791,6,.462,2,110,-3.30,0,0,0,0,korpijo01,2016-2017,2017
Darcy Kuemper,26,MIN,18,17,8,5,3,55,562,507,.902,3.13,0,2.6,1053,5,.294,3,113,-6.36,0,1,1,4,kuempda01,2016-2017,2017
Eddie Lack,29,CAR,20,18,8,7,3,48,492,444,.902,2.64,1,2.3,1090,9,.500,3,113,-5.42,0,0,0,0,lacked01,2016-2017,2017
Marek Langhamer,22,ARI,1,0,0,0,0,1,8,7,.875,3.87,0,0.0,16,0,,0,,,0,0,0,0,langhma01,2016-2017,2017
Robin Lehner,25,BUF,59,58,23,26,8,152,1910,1758,.920,2.68,2,12.9,3405,32,.552,6,92,13.29,0,1,1,6,lehnero01,2016-2017,2017
Kari Lehtonen,33,DAL,59,52,22,25,7,151,1546,1395,.902,2.85,3,7.1,3177,27,.519,12,113,-17.21,0,1,1,4,lehtoka01,2016-2017,2017
Michael Leighton,35,CAR,4,3,2,2,0,12,92,80,.870,3.42,0,0.1,210,1,.333,1,,,0,1,1,0,leighmi01,2016-2017,2017
Charlie Lindgren,23,MTL,2,2,2,0,0,3,59,56,.949,1.48,0,0.6,122,2,1.000,0,,,0,0,0,0,lindgch01,2016-2017,2017
Henrik Lundqvist,34,NYR,57,55,31,20,4,148,1650,1502,.910,2.74,2,9.1,3240,32,.582,8,104,-5.21,0,1,1,0,lundqhe01,2016-2017,2017
Roberto Luongo,37,FLA,40,39,17,15,6,104,1217,1113,.915,2.68,1,7.4,2327,21,.538,1,99,1.32,0,1,1,4,luongro01,2016-2017,2017
Jacob Markstrom,27,VAN,26,23,10,11,3,62,692,630,.910,2.63,0,3.8,1417,12,.522,2,104,-2.11,0,0,0,2,marksja02,2016-2017,2017
Spencer Martin,21,COL,3,3,0,2,1,13,96,83,.865,4.35,0,0.0,179,0,.000,1,,,0,0,0,0,martisp01,2016-2017,2017
Steve Mason,28,PHI,58,54,26,21,8,143,1556,1413,.908,2.66,3,8.2,3225,26,.481,11,106,-8.34,0,1,1,0,masonst01,2016-2017,2017
Marek Mazanec,25,NSH,4,2,0,2,0,14,87,73,.839,4.73,0,-0.2,178,0,.000,2,,,0,1,1,0,mazanma01,2016-2017,2017
Curtis McElhinney,33,TOR,14,10,6,7,0,36,418,382,.914,2.85,1,2.5,759,6,.600,0,100,0.17,0,0,0,0,mcelhcu01,2016-2017,2017
Curtis McElhinney,33,CBJ,7,5,2,1,2,15,198,183,.924,2.39,0,1.4,376,3,.600,0,,,0,0,0,0,mcelhcu01,2016-2017,2017
Zane McIntyre,24,BOS,8,3,0,4,1,22,155,133,.858,3.97,0,-0.1,333,0,.000,1,,,0,0,0,0,mcintza01,2016-2017,2017
Ryan Miller,36,VAN,54,54,18,29,6,150,1737,1587,.914,2.80,3,10.3,3212,26,.481,7,100,0.32,0,1,1,22,millery01,2016-2017,2017
Al Montoya,31,MTL,19,18,8,6,4,50,569,519,.912,2.67,2,3.3,1125,12,.667,2,102,-0.76,0,2,2,2,montoal01,2016-2017,2017
Petr Mrazek,24,DET,50,44,18,21,9,145,1462,1317,.901,3.04,1,6.5,2858,19,.432,9,115,-18.48,0,0,0,2,mrazepe01,2016-2017,2017
Matt Murray,22,PIT,49,47,32,10,4,111,1450,1339,.923,2.41,4,10.3,2766,26,.553,4,88,14.48,0,2,2,0,murrama02,2016-2017,2017
Alex Nedeljkovic,21,CAR,1,0,0,0,0,0,17,17,1.000,0.00,0,0.3,30,0,,0,,,0,0,0,2,nedelal01,2016-2017,2017
Michal Neuvirth,28,PHI,28,24,11,11,1,64,586,522,.891,2.82,0,1.9,1364,10,.417,4,126,-13.29,0,0,0,2,neuvimi01,2016-2017,2017
Antti Niemi,33,DAL,37,30,12,12,4,95,880,785,.892,3.30,0,3.0,1729,14,.467,7,125,-18.84,0,0,0,0,niemian02,2016-2017,2017
Anders Nilsson,26,BUF,26,23,10,10,4,66,857,791,.923,2.67,1,6.0,1484,11,.478,2,89,8.17,0,0,0,0,nilssan01,2016-2017,2017
Ondrej Pavelec,29,WPG,8,8,4,4,0,26,233,207,.888,3.55,0,0.7,440,2,.250,2,,,0,0,0,0,pavelon01,2016-2017,2017
Justin Peters,30,ARI,3,1,0,1,0,7,70,63,.900,3.16,0,0.3,133,0,.000,0,,,0,0,0,0,peterju01,2016-2017,2017
Calvin Pickard,24,COL,50,48,15,31,2,140,1461,1321,.904,2.98,2,7.1,2820,21,.438,11,111,-13.56,0,2,2,2,pickaca01,2016-2017,2017
Carey Price,29,MTL,62,62,37,20,5,138,1794,1656,.923,2.23,3,12.6,3708,38,.613,8,89,17.25,0,1,1,4,priceca01,2016-2017,2017
Jonathan Quick,31,LAK,17,17,8,5,2,35,421,386,.917,2.26,2,2.7,931,11,.647,2,96,1.43,0,0,0,2,quickjo01,2016-2017,2017
Antti Raanta,27,NYR,30,26,16,8,2,61,782,721,.922,2.26,4,5.4,1617,18,.692,1,90,6.67,0,1,1,0,raantan01,2016-2017,2017
Tuukka Rask,29,BOS,65,63,37,20,5,137,1610,1473,.915,2.23,8,9.8,3680,31,.492,14,98,2.33,0,2,2,0,rasktu01,2016-2017,2017
James Reimer,28,FLA,43,39,18,16,5,98,1222,1124,.920,2.53,3,8.1,2325,19,.487,4,93,7.75,0,0,0,2,reimeja01,2016-2017,2017
Pekka Rinne,34,NSH,61,61,31,19,9,144,1757,1613,.918,2.42,3,11.3,3568,34,.557,7,95,8.05,0,0,0,4,rinnepe01,2016-2017,2017
David Rittich,24,CGY,1,0,0,0,0,1,10,9,.900,3.00,0,0.0,20,0,,0,,,0,0,0,0,rittida01,2016-2017,2017
Juuse Saros,21,NSH,21,19,10,8,3,47,614,567,.923,2.35,1,4.4,1200,13,.684,1,88,6.14,0,1,1,0,sarosju01,2016-2017,2017
Cory Schneider,30,NJD,60,59,20,27,11,163,1781,1618,.908,2.82,2,9.5,3473,27,.458,7,106,-8.87,0,0,0,0,schneco01,2016-2017,2017
Jeremy Smith,27,COL,10,8,1,6,1,32,286,254,.888,3.54,0,0.8,543,3,.375,3,,,0,0,0,0,smithje02,2016-2017,2017
Mike Smith,34,ARI,55,55,19,26,9,156,1819,1663,.914,2.92,3,10.9,3202,27,.491,7,99,1.42,0,0,0,14,smithmi01,2016-2017,2017
Alex Stalock,29,MIN,2,2,1,1,0,3,54,51,.944,1.51,0,0.5,119,2,1.000,0,,,0,0,0,0,staloal01,2016-2017,2017
Anthony Stolarz,23,PHI,7,4,2,1,1,13,181,168,.928,2.07,1,1.4,376,2,.500,1,,,0,0,0,0,stolaan01,2016-2017,2017
Malcolm Subban,23,BOS,1,1,0,1,0,3,16,13,.813,5.88,0,-0.1,31,0,.000,1,,,0,0,0,0,subbama01,2016-2017,2017
Cam Talbot,29,EDM,73,73,42,22,8,171,2117,1946,.919,2.39,7,14.0,4294,43,.589,10,93,12.21,0,0,0,4,talboca01,2016-2017,2017
Dustin Tokarski,27,ANA,1,0,0,0,0,0,5,5,1.000,0.00,0,0.1,10,0,,0,,,0,0,0,0,tokardu01,2016-2017,2017
Linus Ullmark,23,BUF,1,1,0,1,0,3,36,33,.917,3.06,0,0.2,59,1,1.000,0,,,0,0,0,0,ullmali01,2016-2017,2017
Semyon Varlamov,28,COL,24,23,6,17,0,76,745,669,.898,3.38,1,3.1,1348,11,.478,5,118,-11.53,0,1,1,0,varlasi01,2016-2017,2017
Andrei Vasilevskiy,22,TBL,50,47,23,17,7,123,1480,1357,.917,2.61,2,9.3,2831,25,.532,5,96,5.08,0,2,2,2,vasilan02,2016-2017,2017
Cam Ward,32,CAR,61,61,26,22,12,162,1711,1549,.905,2.69,2,8.5,3618,30,.492,9,109,-13.93,0,1,1,6,wardca01,2016-2017,2017
